Install,Package,Description
Y,build-essential,"Informational list of build-essential packages"
Y,curl,"Command line tool for transferring data with URL syntax"
Y,exuberant-ctags,"Build tag file indexes of source code definitions"
Y,git,"Fast, scalable, distributed revision control system"
Y,lib32z1,"Compression library - 32 bit runtime"
Y,libbz2-1.0:i386,"High-quality block-sorting file compressor library - runtime"
Y,libc6:i386,"GNU C Library: Shared libraries"
Y,libncurses5:i386,"Shared libraries for terminal handling (legacy version)"
Y,libstdc++6:i386,"GNU Standard C++ Library v3"
Y,libusb-dev,"Userspace USB programming library development files"
Y,libwebkit2gtk-4.0-dev,"Web content engine library for GTK - development files"
Y,neovim,"Heavily refactored vim fork"
Y,python3,"Interactive high-level object-oriented language"
Y,python3-dev,"Header files and a static library for Python"
Y,python3-neovim,"Transitional dummy package"
Y,python3-pip,"Python package installer"
Y,python3-venv,"PyVenv-3 binary for Python 3"
